strategy,match_number,event_start_time,event_title,actual_outcome,selection_outcome,selection,bet_placed,pnl,cumulative_pnl
Draw every match,1,2026-06-11T19:00:00Z,Mexico vs. South Africa,team1_win,draw,YES Draw,True,-100.0,-100.0
Draw every match,2,2026-06-12T02:00:00Z,Korea Republic vs. Czechia,team1_win,draw,YES Draw,True,-100.0,-200.0
Draw every match,3,2026-06-12T19:00:00Z,Canada vs. Bosnia-Herzegovina,draw,draw,YES Draw,True,263.6363636363636,63.636363636363626
Draw every match,4,2026-06-13T01:00:00Z,United States vs. Paraguay,team1_win,draw,YES Draw,True,-100.0,-36.363636363636374
Draw every match,5,2026-06-13T19:00:00Z,Qatar vs. Switzerland,draw,draw,YES Draw,True,673.8607050730872,637.4970687094508
Draw every match,6,2026-06-13T22:00:00Z,Brazil vs. Morocco,draw,draw,YES Draw,True,291.73014145810674,929.2272101675576
Draw every match,7,2026-06-14T01:00:00Z,Haiti vs. Scotland,team1_win,draw,YES Draw,True,-100.0,829.2272101675576
Draw every match,8,2026-06-14T04:00:00Z,Australia vs. Türkiye,team1_win,draw,YES Draw,True,-100.0,729.2272101675576
Draw every match,9,2026-06-14T17:00:00Z,Germany vs. Curaçao,team1_win,draw,YES Draw,True,-100.0,629.2272101675576
Draw every match,10,2026-06-14T20:00:00Z,Netherlands vs. Japan,draw,draw,YES Draw,True,261.69998995277797,890.9272001203356
Draw every match,11,2026-06-14T23:00:00Z,Côte d'Ivoire vs. Ecuador,team1_win,draw,YES Draw,True,-100.0,790.9272001203356
Draw every match,12,2026-06-15T02:00:00Z,Sweden vs. Tunisia,team1_win,draw,YES Draw,True,-100.0,690.9272001203356
Draw every match,13,2026-06-15T16:00:00Z,Spain vs. Cabo Verde,draw,draw,YES Draw,True,1590.140845070422,2281.0680451907574
Draw every match,14,2026-06-15T19:00:00Z,Belgium vs. Egypt,draw,draw,YES Draw,True,329.49176807444525,2610.559813265203
Draw every match,15,2026-06-15T22:00:00Z,Saudi Arabia vs. Uruguay,draw,draw,YES Draw,True,359.9463395937141,2970.5061528589167
Draw every match,16,2026-06-16T01:00:00Z,IR Iran vs. New Zealand,draw,draw,YES Draw,True,262.4647603705194,3232.9709132294365
Draw every match,17,2026-06-16T19:00:00Z,France vs. Senegal,team1_win,draw,YES Draw,True,-100.0,3132.9709132294365
Draw every match,18,2026-06-16T22:00:00Z,Iraq vs. Norway,team1_win,draw,YES Draw,True,-100.0,3032.9709132294365
Draw every match,19,2026-06-17T01:00:00Z,Argentina vs. Algeria,team1_win,draw,YES Draw,True,-100.0,2932.9709132294365
Draw every match,20,2026-06-17T04:00:00Z,Austria vs. Jordan,team1_win,draw,YES Draw,True,-100.0,2832.9709132294365
Draw every match,21,2026-06-17T17:00:00Z,Portugal vs. DR Congo,draw,draw,YES Draw,True,497.8080371969443,3330.7789504263806
Draw every match,22,2026-06-17T20:00:00Z,England vs. Croatia,team1_win,draw,YES Draw,True,-100.0,3230.7789504263806
Draw every match,23,2026-06-17T23:00:00Z,Ghana vs. Panama,team1_win,draw,YES Draw,True,-100.0,3130.7789504263806
Draw every match,24,2026-06-18T02:00:00Z,Uzbekistan vs. Colombia,team1_win,draw,YES Draw,True,-100.0,3030.7789504263806
Draw every match,25,2026-06-18T16:00:00Z,Czechia vs. South Africa,draw,draw,YES Draw,True,274.5318352059925,3305.310785632373
Draw every match,26,2026-06-18T19:00:00Z,Switzerland vs. Bosnia-Herzegovina,team1_win,draw,YES Draw,True,-100.0,3205.310785632373
Draw every match,27,2026-06-18T22:00:00Z,Canada vs. Qatar,team1_win,draw,YES Draw,True,-100.0,3105.310785632373
Draw every match,28,2026-06-19T01:00:00Z,Mexico vs. Korea Republic,team1_win,draw,YES Draw,True,-100.0,3005.310785632373
Draw every match,29,2026-06-19T19:00:00Z,United States vs. Australia,team1_win,draw,YES Draw,True,-100.0,2905.310785632373
Draw every match,30,2026-06-19T22:00:00Z,Scotland vs. Morocco,team1_win,draw,YES Draw,True,-100.0,2805.310785632373
Draw every match,31,2026-06-20T00:30:00Z,Brazil vs. Haiti,team1_win,draw,YES Draw,True,-100.0,2705.310785632373
Draw every match,32,2026-06-20T03:00:00Z,Türkiye vs. Paraguay,team1_win,draw,YES Draw,True,-100.0,2605.310785632373
Draw every match,33,2026-06-20T17:00:00Z,Netherlands vs. Sweden,team1_win,draw,YES Draw,True,-100.0,2505.310785632373
Draw every match,34,2026-06-20T20:00:00Z,Germany vs. Côte d'Ivoire,team1_win,draw,YES Draw,True,-100.0,2405.310785632373
Draw every match,35,2026-06-21T00:00:00Z,Ecuador vs. Curaçao,draw,draw,YES Draw,True,872.1847150958669,3277.49550072824
Draw every match,36,2026-06-21T04:00:00Z,Tunisia vs. Japan,team1_win,draw,YES Draw,True,-100.0,3177.49550072824
Draw every match,37,2026-06-21T16:00:00Z,Spain vs. Saudi Arabia,team1_win,draw,YES Draw,True,-100.0,3077.49550072824
Draw every match,38,2026-06-21T19:00:00Z,Belgium vs. IR Iran,draw,draw,YES Draw,True,411.0732538330492,3488.568754561289
Draw every match,39,2026-06-21T22:00:00Z,Uruguay vs. Cabo Verde,draw,draw,YES Draw,True,358.59872611464976,3847.167480675939
Draw every match,40,2026-06-22T01:00:00Z,New Zealand vs. Egypt,team1_win,draw,YES Draw,True,-100.0,3747.167480675939
Draw every match,41,2026-06-22T17:00:00Z,Argentina vs. Austria,team1_win,draw,YES Draw,True,-100.0,3647.167480675939
Draw every match,42,2026-06-22T21:00:00Z,France vs. Iraq,team1_win,draw,YES Draw,True,-100.0,3547.167480675939
Draw every match,43,2026-06-23T00:00:00Z,Norway vs. Senegal,team1_win,draw,YES Draw,True,-100.0,3447.167480675939
Draw every match,44,2026-06-23T03:00:00Z,Jordan vs. Algeria,team1_win,draw,YES Draw,True,-100.0,3347.167480675939
Draw every match,45,2026-06-23T17:00:00Z,Portugal vs. Uzbekistan,team1_win,draw,YES Draw,True,-100.0,3247.167480675939
Draw every match,46,2026-06-23T20:00:00Z,England vs. Ghana,draw,draw,YES Draw,True,707.8994614003591,3955.066942076298
Draw every match,47,2026-06-23T23:00:00Z,Panama vs. Croatia,team1_win,draw,YES Draw,True,-100.0,3855.066942076298
Draw every match,48,2026-06-24T02:00:00Z,Colombia vs. DR Congo,team1_win,draw,YES Draw,True,-100.0,3755.066942076298
