strategy,bets,total_pnl,avg_pnl_per_match,avg_pnl_per_bet,hit_rate,total_staked,roi_on_staked
YES max positive edge,48,4919.558072077476,102.49079316828075,102.49079316828075,0.3333333333333333,4800.0,1.0249079316828076
Draw every match,48,3755.066942076298,78.2305612932562,78.2305612932562,0.2916666666666667,4800.0,0.7823056129325621
YES Elo underdog,48,3654.6161739703057,76.1378369577147,76.1378369577147,0.2708333333333333,4800.0,0.761378369577147
YES draw positive edge,16,2171.2068511962825,45.23347606658922,135.70042819976766,0.25,1600.0,1.3570042819976766
"YES max edge, prob floor",19,123.00490152023238,2.5626021150048413,6.473942185275388,0.3157894736842105,1900.0,0.06473942185275389
NO overpriced draw,15,26.010199554782165,0.5418791573912951,1.7340133036521443,0.7333333333333333,1500.0,0.017340133036521443
NO lowest Elo probability,48,-282.64938492888155,-5.888528852685032,-5.888528852685032,0.7916666666666666,4800.0,-0.05888528852685032
NO most overpriced outcome,5,-354.01459854014604,-7.3753041362530425,-70.80291970802921,0.2,500.0,-0.7080291970802921
NO draw every match,48,-437.6812349826685,-9.118359062138927,-9.118359062138929,0.7083333333333334,4800.0,-0.09118359062138927
NO low-prob overpriced,6,-469.281045751634,-9.776688453159041,-78.21350762527233,0.16666666666666666,600.0,-0.7821350762527234
YES favorite positive edge,12,-506.8273663603557,-10.558903465840745,-42.23561386336297,0.3333333333333333,1200.0,-0.42235613863362975
NO Elo underdog,48,-723.3987742761899,-15.070807797420622,-15.070807797420622,0.7291666666666666,4800.0,-0.15070807797420624
YES Elo favorite,48,-1426.5125555841585,-29.719011574669967,-29.719011574669967,0.4375,4800.0,-0.2971901157466997
