match_number,Draw every match,NO Elo underdog,NO Polymarket favorite,NO Polymarket underdog,NO draw every match,NO low-prob overpriced,NO lowest Elo probability,NO most overpriced outcome,NO overpriced draw,YES Elo favorite,YES Elo underdog,YES Polymarket favorite,YES Polymarket underdog,YES draw positive edge,YES favorite positive edge,"YES max edge, prob floor",YES max positive edge
1,-100.0,11.73184357541901,-100.0,11.73184357541901,25.843325060299914,0.0,11.73184357541901,0.0,0.0,44.109523237660596,-100.0,44.109523237660596,-100.0,0.0,0.0,0.0,44.109523237660596
2,-200.0,57.9603662611495,-200.0,57.71724503527298,71.82872652015388,0.0,57.71724503527298,0.0,45.98540145985397,212.2459748986169,-200.0,212.2459748986169,-200.0,0.0,0.0,0.0,-55.890476762339404
3,63.636363636363626,82.09829729563226,-84.9719268904551,81.85517606975574,-28.17127347984612,0.0,81.85517606975574,0.0,-54.01459854014603,112.24597489861691,-300.0,112.24597489861691,-300.0,0.0,-100.0,0.0,-155.8904767623394
4,-36.363636363636374,-17.901702704367736,-184.9719268904551,113.18931200058643,13.806956524886473,0.0,-18.144823930244257,-100.0,-12.036368535413438,12.245974898616907,-182.8709288299155,229.3750460687014,-400.0,0.0,-200.0,-100.0,-255.8904767623394
5,637.4970687094508,-11.516051764553932,261.1445779639135,119.57496294040024,-86.19304347511353,0.0,-11.759172990430454,-100.0,-12.036368535413438,-87.75402510138309,-282.8709288299155,129.3750460687014,-500.0,673.8607050730872,-200.0,-100.0,417.97022831074776
6,929.2272101675576,8.244427277362245,402.1084333856002,139.3354419823164,-186.19304347511354,0.0,8.001306051485724,-100.0,-12.036368535413438,-187.7540251013831,-382.8709288299155,29.375046068701394,-600.0,673.8607050730872,-200.0,-100.0,317.97022831074776
7,829.2272101675576,-91.75557272263775,575.6854529159596,39.33544198231641,-160.10730517306814,0.0,-91.99869394851427,-100.0,-12.036368535413438,-287.7540251013831,157.92650798033702,-70.6249539312986,-59.20256318974748,573.8607050730872,-200.0,-100.0,217.97022831074776
8,729.2272101675576,-191.75557272263774,710.014685487723,-60.66455801768359,-125.80901374577574,0.0,-191.99869394851427,-100.0,-12.036368535413438,-387.7540251013831,629.3550794089083,-170.6249539312986,412.2260082388238,573.8607050730872,-200.0,-100.0,689.398799739319
9,629.2272101675576,-189.56123315355723,610.014685487723,-58.47021844860306,-121.66961737821575,0.0,-189.80435437943373,-100.0,-12.036368535413438,-381.68058397582604,529.3550794089083,-164.55151280574154,312.2260082388238,473.86070507308716,-200.0,-100.0,589.398799739319
10,890.9272001203356,-155.16768404391448,697.9747961753436,-24.076669338960322,-221.66961737821575,0.0,-289.80435437943373,-100.0,-12.036368535413438,-481.68058397582604,429.3550794089083,-264.55151280574154,212.2260082388238,473.86070507308716,-200.0,-200.0,489.39879973931903
