event_start_time,event_slug,event_title,poly_team1,poly_team2,team1_code,team2_code,elo_match_date,team1_elo_pre,team2_elo_pre,team1_goals,team2_goals,score_source,polymarket_team1_win_price,polymarket_draw_price,polymarket_team2_win_price,elo_team1_win_prob,elo_draw_prob,elo_team2_win_prob,elo_source
2026-06-11T19:00:00Z,fifwc-mex-rsa-2026-06-11,Mexico vs. South Africa,Mexico,South Africa,MX,ZA,2026-06-11 00:00:00+00:00,1875.0,1518.0,2,0,polymarket_event_score,0.6939166666666667,0.20536111111111105,0.1050000000000001,0.711012680165539,0.19791689846746854,0.09107042136699241,2026_results.tsv
2026-06-12T02:00:00Z,fifwc-kr-cze-2026-06-11,Korea Republic vs. Czechia,Korea Republic,Czechia,KR,CZ,2026-06-11 00:00:00+00:00,1758.0,1740.0,2,1,polymarket_event_score,0.3729444444444445,0.31499999999999984,0.3161388888888888,0.3787764448267578,0.27972964491244207,0.3414939102608001,2026_results.tsv
2026-06-12T19:00:00Z,fifwc-can-bih-2026-06-12,Canada vs. Bosnia-Herzegovina,Canada,Bosnia-Herzegovina,CA,BA,2026-06-12 00:00:00+00:00,1788.0,1595.0,1,1,polymarket_event_score,0.5349444444444446,0.275,0.19444444444444445,0.5632189290684547,0.25135224758838215,0.18542882334316307,2026_results.tsv
2026-06-13T01:00:00Z,fifwc-usa-par-2026-06-12,United States vs. Paraguay,United States,Paraguay,US,PY,2026-06-12 00:00:00+00:00,1726.0,1834.0,4,1,polymarket_event_score,0.4605555555555555,0.29566666666666663,0.23858333333333331,0.25487904920173865,0.27051395187484206,0.47460699892341923,2026_results.tsv
2026-06-13T19:00:00Z,fifwc-qat-che-2026-06-13,Qatar vs. Switzerland,Qatar,Switzerland,QA,CH,2026-06-13 00:00:00+00:00,1421.0,1891.0,1,1,polymarket_event_score,0.060023611111111104,0.12922222222222218,0.8168888888888888,0.05271232656439126,0.15858704822224912,0.7887006252133596,2026_results.tsv
2026-06-13T22:00:00Z,fifwc-bra-mar-2026-06-13,Brazil vs. Morocco,Brazil,Morocco,BR,MA,2026-06-13 00:00:00+00:00,1991.0,1827.0,1,1,polymarket_event_score,0.585,0.2552777777777777,0.1650000000000001,0.5335688892690583,0.25884872484082366,0.207582385890118,2026_results.tsv
2026-06-14T01:00:00Z,fifwc-hai-sco-2026-06-13,Haiti vs. Scotland,Haiti,Scotland,HT,SQ,2026-06-13 00:00:00+00:00,1548.0,1782.0,0,1,polymarket_event_score,0.15605555555555561,0.20688888888888884,0.6344722222222221,0.15695584183158579,0.2394048890440321,0.6036392691243821,2026_results.tsv
2026-06-14T04:00:00Z,fifwc-aus-tur-2026-06-14,Australia vs. Türkiye,Australia,Türkiye,AU,TR,2026-06-13 00:00:00+00:00,1777.0,1910.0,2,0,polymarket_event_score,0.17500000000000004,0.25538888888888883,0.57325,0.23305505771703014,0.2658055611301259,0.501139381152844,2026_results.tsv (nearest_date_fallback)
2026-06-14T17:00:00Z,fifwc-ger-kor-2026-06-14,Germany vs. Curaçao,Germany,Curaçao,DE,CW,2026-06-14 00:00:00+00:00,1932.0,1434.0,7,1,polymarket_event_score,0.9427430555555556,0.03974861111111108,0.021472222222222222,0.8049000674406545,0.1493129563193432,0.045786976240002185,2026_results.tsv
2026-06-14T20:00:00Z,fifwc-nld-jpn-2026-06-14,Netherlands vs. Japan,Netherlands,Japan,NL,JP,2026-06-14 00:00:00+00:00,1948.0,1906.0,2,2,polymarket_event_score,0.4679722222222221,0.2764722222222223,0.2559166666666667,0.404129897229888,0.278532906453898,0.31733719631621393,2026_results.tsv
2026-06-14T23:00:00Z,fifwc-civ-ecu-2026-06-14,Côte d'Ivoire vs. Ecuador,Côte d'Ivoire,Ecuador,CI,EC,2026-06-14 00:00:00+00:00,1695.0,1938.0,1,0,polymarket_event_score,0.2918611111111111,0.3346944444444445,0.37583333333333335,0.15115448572486587,0.23660644513407444,0.6122390691410595,2026_results.tsv
2026-06-15T02:00:00Z,fifwc-swe-tun-2026-06-14,Sweden vs. Tunisia,Sweden,Tunisia,SE,TN,2026-06-14 00:00:00+00:00,1712.0,1628.0,5,1,polymarket_event_score,0.5115833333333333,0.2847500000000001,0.20722222222222217,0.4489672751693213,0.27420174696190636,0.27683097786877225,2026_results.tsv
2026-06-15T16:00:00Z,fifwc-esp-cvi-2026-06-15,Spain vs. Cabo Verde,Spain,Cabo Verde,ES,CV,2026-06-15 00:00:00+00:00,2157.0,1578.0,0,0,polymarket_event_score,0.9171666666666667,0.05916666666666668,0.025191666666666584,0.8455840844285891,0.12424025401786508,0.030175661553545702,2026_results.tsv
2026-06-15T19:00:00Z,fifwc-bel-egy-2026-06-15,Belgium vs. Egypt,Belgium,Egypt,BE,EG,2026-06-15 00:00:00+00:00,1894.0,1696.0,1,1,polymarket_event_score,0.6230555555555557,0.23283333333333334,0.15105555555555553,0.5682492655545368,0.24997375477864958,0.18177697966681355,2026_results.tsv
2026-06-15T22:00:00Z,fifwc-ksa-ury-2026-06-15,Saudi Arabia vs. Uruguay,Saudi Arabia,Uruguay,SA,UY,2026-06-15 00:00:00+00:00,1576.0,1892.0,1,1,polymarket_event_score,0.11513888888888896,0.21741666666666665,0.6729166666666666,0.10992301713089622,0.2122971533446561,0.6777798295244476,2026_results.tsv
2026-06-16T01:00:00Z,fifwc-irn-nzl-2026-06-15,IR Iran vs. New Zealand,IR Iran,New Zealand,IR,NZ,2026-06-15 00:00:00+00:00,1772.0,1562.0,2,2,polymarket_event_score,0.5416111111111112,0.27588888888888896,0.18838888888888905,0.5802128014518612,0.24657147727533052,0.17321572127280838,2026_results.tsv
2026-06-16T19:00:00Z,fifwc-fra-sen-2026-06-16,France vs. Senegal,France,Senegal,FR,SN,2026-06-16 00:00:00+00:00,2063.0,1860.0,3,1,polymarket_event_score,0.6660555555555556,0.215,0.12766666666666665,0.5732532129427221,0.24857189780647448,0.17817488925080346,2026_results.tsv
2026-06-16T22:00:00Z,fifwc-irq-nor-2026-06-16,Iraq vs. Norway,Iraq,Norway,IQ,NO,2026-06-16 00:00:00+00:00,1607.0,1914.0,1,4,polymarket_event_score,0.06499999999999981,0.13541666666666663,0.8036388888888888,0.11446131347983843,0.21540920397949095,0.6701294825406706,2026_results.tsv
2026-06-17T01:00:00Z,fifwc-arg-alg-2026-06-16,Argentina vs. Algeria,Argentina,Algeria,AR,DZ,2026-06-16 00:00:00+00:00,2115.0,1772.0,3,0,polymarket_event_score,0.6701944444444443,0.21094444444444446,0.11825,0.6999663517473539,0.20285358812390636,0.09718006012873973,2026_results.tsv
2026-06-17T04:00:00Z,fifwc-aut-jor-2026-06-17,Austria vs. Jordan,Austria,Jordan,AT,JO,2026-06-16 00:00:00+00:00,1830.0,1680.0,3,1,polymarket_event_score,0.7044444444444444,0.19022222222222235,0.1056666666666668,0.5190030081972985,0.26213523797698496,0.2188617538257166,2026_results.tsv (nearest_date_fallback)
2026-06-17T17:00:00Z,fifwc-prt-cdr-2026-06-17,Portugal vs. DR Congo,Portugal,DR Congo,PT,CD,2026-06-17 00:00:00+00:00,1989.0,1652.0,1,1,polymarket_event_score,0.7641944444444446,0.16727777777777783,0.07499999999999997,0.6951360606345303,0.20496294329762552,0.09990099606784413,2026_results.tsv
2026-06-17T20:00:00Z,fifwc-eng-hrv-2026-06-17,England vs. Croatia,England,Croatia,EN,HR,2026-06-17 00:00:00+00:00,2024.0,1911.0,4,2,polymarket_event_score,0.5763611111111111,0.2537222222222222,0.1734722222222222,0.4799326050925333,0.2696409112055122,0.25042648370195447,2026_results.tsv
2026-06-17T23:00:00Z,fifwc-gha-pan-2026-06-17,Ghana vs. Panama,Ghana,Panama,GH,PA,2026-06-17 00:00:00+00:00,1510.0,1730.0,1,0,polymarket_event_score,0.40594444444444455,0.3013055555555555,0.2924444444444444,0.16630096266575425,0.24364095537181982,0.5900580819624259,2026_results.tsv
2026-06-18T02:00:00Z,fifwc-uzb-col-2026-06-17,Uzbekistan vs. Colombia,Uzbekistan,Colombia,UZ,CO,2026-06-17 00:00:00+00:00,1714.0,1982.0,1,3,polymarket_event_score,0.09344444444444444,0.1949722222222223,0.7096944444444444,0.13587942717977813,0.2285647421206512,0.6355558306995708,2026_results.tsv
2026-06-18T16:00:00Z,fifwc-cze-rsa-2026-06-18,Czechia vs. South Africa,Czechia,South Africa,CZ,ZA,2026-06-18 00:00:00+00:00,1712.0,1512.0,1,1,polymarket_event_score,0.5264166666666668,0.267,0.20444444444444437,0.5702540591337509,0.24941577368434933,0.1803301671818997,2026_results.tsv
2026-06-18T19:00:00Z,fifwc-che-bih-2026-06-18,Switzerland vs. Bosnia-Herzegovina,Switzerland,Bosnia-Herzegovina,CH,BA,2026-06-18 00:00:00+00:00,1865.0,1616.0,4,1,polymarket_event_score,0.625,0.23491666666666666,0.14633333333333326,0.6179130750606894,0.23471071453213427,0.14737621040717636,2026_results.tsv
2026-06-18T22:00:00Z,fifwc-can-qat-2026-06-18,Canada vs. Qatar,Canada,Qatar,CA,QA,2026-06-18 00:00:00+00:00,1767.0,1447.0,6,0,polymarket_event_score,0.7488333333333335,0.17097222222222228,0.08380555555555555,0.6811394126113046,0.21090726557223366,0.10795332181646175,2026_results.tsv
2026-06-19T01:00:00Z,fifwc-mex-kr-2026-06-18,Mexico vs. Korea Republic,Mexico,Korea Republic,MX,KR,2026-06-18 00:00:00+00:00,1881.0,1786.0,1,0,polymarket_event_score,0.4720416666666667,0.29598611111111117,0.23680555555555557,0.4607302587107882,0.2726165806651512,0.26665316062406064,2026_results.tsv
