strategy,bets,total_pnl,avg_pnl_per_match,avg_pnl_per_bet,hit_rate,total_staked,roi_on_staked
YES draw positive edge,44,1905.5844944581995,18.32292783132884,43.308738510413626,0.18181818181818182,4400.0,0.43308738510413625
Draw every match,104,1783.889968424739,17.152788157930182,17.15278815793018,0.2403846153846154,10400.0,0.17152788157930182
YES Polymarket favorite,104,1087.9574857590144,10.461129670759753,10.461129670759753,0.6730769230769231,10400.0,0.10461129670759754
YES max positive edge,104,827.1598652996756,7.953460243266112,7.953460243266114,0.2692307692307692,10400.0,0.07953460243266113
NO Polymarket underdog,104,782.4414351342975,7.523475337829784,7.523475337829784,0.9038461538461539,10400.0,0.07523475337829784
YES Elo favorite,104,778.940514086653,7.489812635448587,7.489812635448588,0.6442307692307693,10400.0,0.07489812635448587
NO Elo underdog,104,762.0675710877725,7.327572798920889,7.3275727989208885,0.8846153846153846,10400.0,0.0732757279892089
"YES max edge, prob floor",50,550.6697620940973,5.29490155859709,11.013395241881945,0.36,5000.0,0.11013395241881947
NO lowest Elo probability,104,123.25075380031126,1.1851034019260698,1.1851034019260698,0.8461538461538461,10400.0,0.011851034019260697
YES favorite positive edge,28,121.05174417697555,1.1639590786247649,4.323276577749125,0.4642857142857143,2800.0,0.043232765777491265
NO low-prob overpriced,8,7.830505419754296,0.07529332134379131,0.9788131774692879,0.75,800.0,0.00978813177469287
NO draw every match,104,-205.02840266005236,-1.9714269486543496,-1.9714269486543494,0.7596153846153846,10400.0,-0.019714269486543496
NO most overpriced outcome,19,-217.14377932478058,-2.087920955045967,-11.428619964462138,0.5789473684210527,1900.0,-0.11428619964462136
NO overpriced draw,27,-280.35304394489674,-2.695702345624007,-10.383446072033212,0.6296296296296297,2700.0,-0.10383446072033213
NO Polymarket favorite,104,-727.8910114788351,-6.998952033450338,-6.998952033450337,0.3269230769230769,10400.0,-0.06998952033450338
YES Elo underdog,104,-5779.116274258867,-55.56842571402756,-55.568425714027555,0.11538461538461539,10400.0,-0.5556842571402757
YES Polymarket underdog,104,-5979.407814481902,-57.49430590847983,-57.49430590847984,0.09615384615384616,10400.0,-0.5749430590847983
